Point000	0.8327	0.1606	0.7061	0.8905
Point001	0.2611	0.5580	0.5208	0.6475
Point002	0.9992	0.3584	0.4651	0.4703
Point003	0.4603	0.0501	0.5380	0.7256
Point004	0.4894	0.4500	0.6068	0.6669
Point005	0.8782	0.1517	0.6776	0.0205
Point006	0.6567	0.9877	0.9066	0.4474
Point007	0.2335	0.5454	0.4170	0.0673
Point008	0.5901	0.5751	0.4917	0.5131
Point009	0.0024	0.4123	0.9805	0.6684
Point010	0.7086	0.9297	0.2200	0.2006
Point011	0.7144	0.7160	0.5559	0.7490
Point012	0.4577	0.0524	0.7677	0.5509
Point013	0.4086	0.2753	0.6268	0.9448
Point014	0.1947	0.4701	0.2080	0.4891
Point015	0.4831	0.3638	0.8787	0.9681
Point016	0.3675	0.2532	0.5105	0.7730
Point017	0.2687	0.8210	0.9992	0.6513
Point018	0.5223	0.5276	0.7061	0.6085
Point019	0.6639	0.6977	0.7018	0.4510
Point020	0.5037	0.4953	0.4243	0.6064
Point021	0.0776	0.2674	0.4744	0.1098
Point022	0.4551	0.5623	0.1334	0.0599
Point023	0.7457	0.8314	0.8752	0.1203
Point024	0.8684	0.0266	0.6924	0.3595
Point025	0.2090	0.1228	0.6842	0.6128
Point026	0.9870	0.9255	0.7575	0.7292
Point027	0.3710	0.2701	0.8539	0.2970
Point028	0.3211	0.0622	0.1768	0.3691
Point029	0.0907	0.2194	0.9960	0.1283
Point030	0.9023	0.9357	0.7552	0.5177
Point031	0.7060	0.2355	0.0937	0.4405
Point032	0.1714	0.2841	0.6727	0.9126
Point033	0.2354	0.6020	0.2336	0.3890
Point034	0.0719	0.2175	0.4008	0.6163
Point035	0.2553	0.9234	0.4144	0.6823
Point036	0.0044	0.4643	0.1762	0.2044
Point037	0.6176	0.4940	0.9083	0.7454
Point038	0.7873	0.0860	0.9640	0.8639
Point039	0.2344	0.0459	0.2275	0.6548
Point040	0.6614	0.1206	0.3705	0.0396
Point041	0.1330	0.8126	0.4779	0.4103
Point042	0.6830	0.0145	0.1498	0.8821
Point043	0.8641	0.2513	0.7704	0.3719
Point044	0.5530	0.3663	0.7901	0.9041
Point045	0.1303	0.9575	0.4052	0.9748
Point046	0.0470	0.4687	0.1625	0.9268
Point047	0.1984	0.2735	0.7432	0.1625
Point048	0.7310	0.3634	0.3674	0.6166
Point049	0.2519	0.8442	0.0348	0.3242
Point050	0.5724	0.6439	0.7249	0.6491
Point051	0.3510	0.9055	0.9924	0.9132
Point052	0.3937	0.0395	0.3202	0.8179
Point053	0.0737	0.4046	0.5566	0.3325
Point054	0.8482	0.8891	0.6362	0.2056
Point055	0.2323	0.1457	0.1358	0.1226
Point056	0.7509	0.9786	0.5875	0.8759
Point057	0.2808	0.0296	0.5779	0.9651
Point058	0.1421	0.8541	0.6991	0.4112
Point059	0.1608	0.1162	0.2722	0.5214
Point060	0.4245	0.6458	0.2693	0.0208
Point061	0.3678	0.6732	0.0708	0.6682
Point062	0.2756	0.6449	0.0993	0.8742
Point063	0.9626	0.5973	0.1730	0.2630
Point064	0.8102	0.3563	0.7782	0.7780
Point065	0.1028	0.5934	0.7176	0.1729
Point066	0.6415	0.5214	0.5691	0.3056
Point067	0.4211	0.2797	0.5973	0.9372
Point068	0.0765	0.6489	0.6603	0.0150
Point069	0.2419	0.9514	0.9202	0.0952
Point070	0.6653	0.9238	0.9165	0.4453
Point071	0.1914	0.0788	0.6270	0.9121
Point072	0.7260	0.9738	0.2914	0.1685
Point073	0.2337	0.7418	0.9964	0.9580
Point074	0.2609	0.8624	0.7528	0.2939
Point075	0.5417	0.1115	0.1655	0.7575
Point076	0.8959	0.8553	0.9057	0.4677
Point077	0.9013	0.7764	0.3301	0.5166
Point078	0.0818	0.9550	0.5005	0.5948
Point079	0.5361	0.1807	0.9950	0.7535
Point080	0.8224	0.9390	0.6656	0.2210
Point081	0.3413	0.6947	0.4966	0.5145
Point082	0.6180	0.6495	0.0124	0.7545
Point083	0.5204	0.8669	0.0366	0.7388
Point084	0.1456	0.5842	0.7270	0.4827
Point085	0.5258	0.2235	0.6312	0.2502
